Email,Surname,FirstName,Department,Country
email1,Surname1,Firstname1,Sales,Ireland
email2,Surname2,Firstname2,Finance,UK
email3,Surname3,Firstname3,Sales,France
email4,Surname4,Firstname4,Engineering,Germany
email5,Surname5,Firstname5,Marketing,USA
email6,Surname6,Firstname6,Finance,Ireland
email7,Surname7,Firstname7,Sales,UK
email8,Surname8,Firstname8,Engineering,France
email9,Surname9,Firstname9,Marketing,Germany
email10,Surname10,Firstname10,Finance,USA
email11,Surname11,Firstname11,Marketing,Ireland
email12,Surname12,Firstname12,Engineering,UK
email13,Surname13,Firstname13,Marketing,France
email14,Surname14,Firstname14,Marketing,Germany
email15,Surname15,Firstname15,Finance,USA
email16,Surname16,Firstname16,Sales,Ireland
email17,Surname17,Firstname17,Engineering,UK
email18,Surname18,Firstname18,Marketing,France
email19,Surname19,Firstname19,Finance,Germany
email20,Surname20,Firstname20,Sales,USA
email21,Surname21,Firstname21,Engineering,Ireland
email22,Surname22,Firstname22,Marketing,UK
email23,Surname23,Firstname23,Finance,France
email24,Surname24,Firstname24,Sales,Germany
email25,Surname25,Firstname25,Engineering,USA
email26,Surname26,Firstname26,Marketing,Ireland
email27,Surname27,Firstname27,Marketing,UK
email28,Surname28,Firstname28,Finance,France
email29,Surname29,Firstname29,Sales,Germany
email30,Surname30,Firstname30,Engineering,USA
email31,Surname31,Firstname31,Marketing,Ireland
email32,Surname32,Firstname32,Finance,UK
email33,Surname33,Firstname33,Sales,France
email34,Surname34,Firstname34,Engineering,Germany
email35,Surname35,Firstname35,Marketing,USA
email36,Surname36,Firstname36,Finance,Ireland
email37,Surname37,Firstname37,Sales,UK
email38,Surname38,Firstname38,Engineering,France
email39,Surname39,Firstname39,Marketing,Germany
email40,Surname40,Firstname40,Technical Services,USA
email41,Surname41,Firstname41,Finance,Ireland
email42,Surname42,Firstname42,Finance,UK
email43,Surname43,Firstname43,Engineering,France
email44,Surname44,Firstname44,Marketing,Germany
email45,Surname45,Firstname45,Finance,USA
email46,Surname46,Firstname46,Sales,Ireland
email47,Surname47,Firstname47,Engineering,UK
email48,Surname48,Firstname48,Marketing,France
email49,Surname49,Firstname49,Finance,Germany
email50,Surname50,Firstname50,Sales,USA
